id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"気まぐれ音楽家ビゾゾエ",1,"ビゾゾエ",1,,,"ビゾゾエ"
2,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"気まぐれ音楽家ビゾゾエ",1,"いつかどこかで",2,,,"主人公,ピリカ,ビゾゾエ,カイン,ミシディア"
3,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"噓つき狼少女コルルリ",2,"コルルリ",1,,,"コルルリ"
4,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"噓つき狼少女コルルリ",2,"ウソの代償",2,,,"主人公,ピリカ,フィーナ,コルルリ"
5,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"集落の番人ジルルア",3,"ジルルア",1,,,"ジルルア"
6,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"集落の番人ジルルア",3,"悩むケ者",2,,,"主人公,ピリカ,フィーナ,ジルルア"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"仮面の精霊使いユルルガ",4,"ユルルガ",1,,,"ユルルガ"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"仮面の精霊使いユルルガ",4,"勇ましい明日",2,,,"主人公,ピリカ,フィーナ,ユルルガ,リーゼロッテ,パルナ,プルナ,チャーノ"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"仮面の精霊使いユルルガ",4,"眩しい世界",3,"ユルルガの素顔差分あり",,"主人公,ピリカ,フィーナ,ユルルガ,カイン,ペイシェ"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"天性の才ラミミス",5,"ラミミス",1,,,"ラミミス"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"天性の才ラミミス",5,"目標なんて無駄",2,,,"主人公,ピリカ,フィーナ,ラミミス,カイン,ミシディア,マリナ,ペイシェ"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"天性の才ラミミス",5,"本気出す！",3,"「断る」で無限ループ",,"主人公,ピリカ,フィーナ,ラミミス,カイン,ミシディア,マリナ,ペイシェ,ラミミスの父"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"溢れる空言ニリリス",6,"ニリリス",1,,,"ニリリス"
14,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"溢れる空言ニリリス",6,"噓か真か",2,,,"主人公,ピリカ,フィーナ,ニリリス,カイン,ミシディア,マリナ,ペイシェ"
15,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"溢れる空言ニリリス",6,"嘘も真も",3,,,"主人公,ピリカ,フィーナ,ニリリス,カイン"
16,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"陽だまりの闘士ネジジア",7,"ネジジア",1,,,"ネジジア"
17,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"陽だまりの闘士ネジジア",7,"お昼寝日和",2,,,"主人公,ピリカ,フィーナ,ネジジア"
18,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"駆けまわる癒し手フリリム",8,"フリリム",1,,,"フリリム"
19,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"駆けまわる癒し手フリリム",8,"怪我ならお任せ！",2,,,"主人公,ピリカ,フィーナ,フリリム,カイン,ミシディア,マリナ"
20,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"蠱惑の微笑みゼシシラ",9,"ゼシシラ",1,,,"ゼシシラ"
21,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"蠱惑の微笑みゼシシラ",9,"悪気？　なにそれ？",2,,,"主人公,ピリカ,ゼシシラ,カイン"
22,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"怖がり仔兎ミリリア",10,"ミリリア",1,,,"ミリリア"
23,CHARACTER_QUEST,"１～２部","第１～２部",1,"ケ者の大陸",10,"怖がり仔兎ミリリア",10,"失う怖さ",2,"ロププの冒険：ミリリアに読ませた絵本",,"主人公,ピリカ,フィーナ,ミリリア,カイン,ミシディア,マリナ,ペイシェ,ノノン（小鳥）,ミリリアのママ"
