id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,quest,charalist
1,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"オープニング",1,,"前提クエスト：イベントクエスト（2014）黒の軍勢包囲網を突破せよ！_NL_前提クエスト：イベントクエスト（2014）黒ノ砦奪還作戦","主人公,フィーナ,ピリカ,セリーヌ"
2,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"奪還作戦、始動！",2,,,"主人公,フィーナ,ピリカ,セリーヌ,スレイ,アルヴェルト,ラビィ"
3,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"夜襲",3,,,"主人公,ピリカ,エディ,カルロ,ワーグマン"
4,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"潜入作戦",4,,,"主人公,ピリカ,セリーヌ,アンジェリカ,リュビア"
5,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"逆襲",5,,,"主人公,フィーナ,ピリカ,セリーヌ,フランツ,フェイスレス"
6,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"結界破り",6,,,"主人公,ピリカ,セリーヌ,ビルギット,アルドラ"
7,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"結界の罠",7,,,"主人公,フィーナ,ピリカ,セリーヌ,ロベルタ,アルドラ,ミシディア,グレッグ,マリナ"
8,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"折り返し地点",8,,,"主人公,フィーナ,ピリカ,セリーヌ,ジグムント,グラニ,エマ"
9,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"幸運を運ぶ者",9,,,"主人公,フィーナ,ピリカ,カイン,ミシディア,マリナ,ニンファ"
10,EVENT_TOUHA,"１～２部","2014",2014,"黒ノ砦奪還作戦",1,,,"戦場の商人たち",10,,,"主人公,フィーナ,ピリカ,セリーヌ,カイン,ミシディア,マリナ,アイアリス,ダスティ"
